	fold_change_in_r_due_to_P	rate1	affinity1	rate2	affinity2
0	1.0	4.949963817648086	1.0002187355056198	4.949963817648086	1.0002187355056198
1	1.4974874371859297	4.949963817648086	1.0002187355056198	7.376179900504452	1.0002128231030822
2	1.9949748743718594	4.949963817648086	1.0002187355056198	9.77873022673237	1.0002069537733622
3	2.492462311557789	4.949963817648086	1.0002187355056198	12.15795936233146	1.0002011343266617
4	2.9899497487437188	4.949963817648086	1.0002187355056198	14.514205157805712	1.0001953728544932
5	3.487437185929648	4.949963817648086	1.0002187355056198	16.84779925805559	1.000189654003421
6	3.9849246231155777	4.949963817648086	1.0002187355056198	19.159066380838805	1.000184028392867
7	4.482412060301508	4.949963817648086	1.0002187355056198	21.448325678810583	1.0001784328648304
8	4.9798994974874375	4.949963817648086	1.0002187355056198	23.71588969688184	1.0001729255706777
9	5.477386934673366	4.949963817648086	1.0002187355056198	25.96206588795714	1.0001674478225657
10	5.974874371859296	4.949963817648086	1.0002187355056198	28.187155356287047	1.0001619829907886
11	6.472361809045226	4.949963817648086	1.0002187355056198	30.391452999482194	1.0001566330562288
12	6.969849246231155	4.949963817648086	1.0002187355056198	32.575249735698165	1.0001512755120006
13	7.467336683417085	4.949963817648086	1.0002187355056198	34.73883005681287	1.0001459679660212
14	7.964824120603015	4.949963817648086	1.0002187355056198	36.88247318751548	1.0001407256962311
15	8.462311557788944	4.949963817648086	1.0002187355056198	39.00645319465353	1.000135544907096
16	8.959798994974875	4.949963817648086	1.0002187355056198	41.11103940901625	1.000130440961562
17	9.457286432160803	4.949963817648086	1.0002187355056198	43.196496624110935	1.000125352602108
18	9.954773869346733	4.949963817648086	1.0002187355056198	45.26308503855686	1.0001202537561071
19	10.452261306532662	4.949963817648086	1.0002187355056198	47.311057544866834	1.0001153397484972
20	10.949748743718592	4.949963817648086	1.0002187355056198	49.34066736168223	1.0001103114696226
21	11.447236180904522	4.949963817648086	1.0002187355056198	51.352157866892725	1.0001054492098072
22	11.944723618090451	4.949963817648086	1.0002187355056198	53.34577220361293	1.000100553129462
23	12.442211055276381	4.949963817648086	1.0002187355056198	55.321746997027645	1.0000957132147226
24	12.93969849246231	4.949963817648086	1.0002187355056198	57.28031472683549	1.0000909519027903
25	13.43718592964824	4.949963817648086	1.0002187355056198	59.22170571340215	1.0000861945022308
26	13.93467336683417	4.949963817648086	1.0002187355056198	61.14614372798211	1.0000815115999973
27	14.4321608040201	4.949963817648086	1.0002187355056198	63.05385074817718	1.0000768603068522
28	14.92964824120603	4.949963817648086	1.0002187355056198	64.94504420479605	1.0000722120285785
29	15.42713567839196	4.949963817648086	1.0002187355056198	66.81993689531339	1.0000676245552573
30	15.924623115577889	4.949963817648086	1.0002187355056198	68.67873818184285	1.000063118765377
31	16.42211055276382	4.949963817648086	1.0002187355056198	70.52165513658102	1.0000586289372422
32	16.91959798994975	4.949963817648086	1.0002187355056198	72.34889029259325	1.0000541796639408
33	17.417085427135678	4.949963817648086	1.0002187355056198	74.16064366902461	1.0000497346791475
34	17.914572864321606	4.949963817648086	1.0002187355056198	75.95711104423124	1.0000452999807474
35	18.412060301507537	4.949963817648086	1.0002187355056198	77.73848271258109	1.0000410010358791
36	18.909547738693465	4.949963817648086	1.0002187355056198	79.50495159183139	1.0000366710542457
37	19.407035175879397	4.949963817648086	1.0002187355056198	81.25670159764923	1.0000323976022893
38	19.904522613065325	4.949963817648086	1.0002187355056198	82.99391663481616	1.000028155561921
39	20.402010050251256	4.949963817648086	1.0002187355056198	84.71677693675058	1.0000239701396376
40	20.899497487437184	4.949963817648086	1.0002187355056198	86.42546016734198	1.0000197640582305
41	21.396984924623116	4.949963817648086	1.0002187355056198	88.12013974463412	1.0000156444684523
42	21.894472361809044	4.949963817648086	1.0002187355056198	89.80098766640066	1.000011535999225
43	22.391959798994975	4.949963817648086	1.0002187355056198	91.46817159033075	1.0000074669482446
44	22.889447236180903	4.949963817648086	1.0002187355056198	93.1218594009793	1.000003395146039
45	23.386934673366834	4.949963817648086	1.0002187355056198	94.7622123100705	0.99999943986423
46	23.884422110552762	4.949963817648086	1.0002187355056198	96.38939252542924	0.9999954431573614
47	24.381909547738694	4.949963817648086	1.0002187355056198	98.00355698781794	0.999991505084359
48	24.87939698492462	4.949963817648086	1.0002187355056198	99.60486136219053	0.9999875886092588
49	25.376884422110553	4.949963817648086	1.0002187355056198	101.19345961182069	0.9999837204825636
50	25.87437185929648	4.949963817648086	1.0002187355056198	102.76950015579003	0.9999798958338377
51	26.371859296482413	4.949963817648086	1.0002187355056198	104.33313497861191	0.9999760536920556
52	26.86934673366834	4.949963817648086	1.0002187355056198	105.88450627578548	0.9999722793514841
53	27.366834170854272	4.949963817648086	1.0002187355056198	107.42376165102883	0.9999684737028469
54	27.8643216080402	4.949963817648086	1.0002187355056198	108.95103780284678	0.9999647751854985
55	28.36180904522613	4.949963817648086	1.0002187355056198	110.46647746509105	0.9999610836563715
56	28.85929648241206	4.949963817648086	1.0002187355056198	111.97021679845149	0.9999574008732485
57	29.35678391959799	4.949963817648086	1.0002187355056198	113.46239018793193	0.9999537869829597
58	29.85427135678392	4.949963817648086	1.0002187355056198	114.94313099205691	0.999950161558785
59	30.35175879396985	4.949963817648086	1.0002187355056198	116.41257079028526	0.9999465487940892
60	30.849246231155778	4.949963817648086	1.0002187355056198	117.87083808497432	0.9999429831392956
61	31.34673366834171	4.949963817648086	1.0002187355056198	119.31805848124033	0.9999394624320781
62	31.844221105527637	4.949963817648086	1.0002187355056198	120.75435837948058	0.9999359701491325
63	32.34170854271357	4.949963817648086	1.0002187355056198	122.17986144729386	0.999932481772852
64	32.8391959798995	4.949963817648086	1.0002187355056198	123.5946874742352	0.9999290411844165
65	33.336683417085425	4.949963817648086	1.0002187355056198	124.99895647236444	0.9999256115814187
66	33.834170854271356	4.949963817648086	1.0002187355056198	126.39278635594599	0.9999222378065655
67	34.33165829145729	4.949963817648086	1.0002187355056198	127.77629373524279	0.9999188456790139
68	34.82914572864321	4.949963817648086	1.0002187355056198	129.14959143922442	0.9999154861015007
69	35.32663316582914	4.949963817648086	1.0002187355056198	130.5127945506885	0.9999121474880891
70	35.824120603015075	4.949963817648086	1.0002187355056198	131.8660109078357	0.9999088538206862
71	36.321608040201006	4.949963817648086	1.0002187355056198	133.20935122249026	0.9999055690363369
72	36.81909547738693	4.949963817648086	1.0002187355056198	134.54292403893837	0.9999023004311715
73	37.31658291457286	4.949963817648086	1.0002187355056198	135.86683423923182	0.9998990539928275
74	37.814070351758794	4.949963817648086	1.0002187355056198	137.18118617380102	0.9998958677950618
75	38.311557788944725	4.949963817648086	1.0002187355056198	138.48608362280254	0.9998926950677861
76	38.80904522613065	4.949963817648086	1.0002187355056198	139.78162991680685	0.9998895092196713
77	39.30653266331658	4.949963817648086	1.0002187355056198	141.0679225705429	0.9998863741393108
78	39.80402010050251	4.949963817648086	1.0002187355056198	142.3450607466912	0.9998832740176345
79	40.301507537688444	4.949963817648086	1.0002187355056198	143.61314380972817	0.999880169262
80	40.79899497487437	4.949963817648086	1.0002187355056198	144.87226593449392	0.9998770887578476
81	41.2964824120603	4.949963817648086	1.0002187355056198	146.1225220828751	0.9998740355806801
82	41.79396984924623	4.949963817648086	1.0002187355056198	147.3640043535416	0.9998710563826511
83	42.29145728643216	4.949963817648086	1.0002187355056198	148.59680926607265	0.9998680133809521
84	42.78894472361809	4.949963817648086	1.0002187355056198	149.8210225371162	0.9998650168029891
85	43.28643216080402	4.949963817648086	1.0002187355056198	151.03673489383183	0.9998620629322679
86	43.78391959798995	4.949963817648086	1.0002187355056198	152.24403574673764	0.9998591362658611
87	44.28140703517588	4.949963817648086	1.0002187355056198	153.4430122460789	0.9998561876045479
88	44.778894472361806	4.949963817648086	1.0002187355056198	154.63375000354262	0.9998532504812896
89	45.27638190954774	4.949963817648086	1.0002187355056198	155.81633151526188	0.9998503958603183
90	45.77386934673367	4.949963817648086	1.0002187355056198	156.9908430535439	0.999847505580067
91	46.2713567839196	4.949963817648086	1.0002187355056198	158.1573649844686	0.9998446582712698
92	46.768844221105525	4.949963817648086	1.0002187355056198	159.31598024691732	0.9998418140917607
93	47.266331658291456	4.949963817648086	1.0002187355056198	160.46676621728932	0.9998390603014612
94	47.76381909547739	4.949963817648086	1.0002187355056198	161.60980537069074	0.9998362624257423
95	48.26130653266332	4.949963817648086	1.0002187355056198	162.74517469022916	0.9998334627336818
96	48.75879396984924	4.949963817648086	1.0002187355056198	163.87295045353392	0.9998307023568125
97	49.256281407035175	4.949963817648086	1.0002187355056198	164.99320723686355	0.9998279765022859
98	49.753768844221106	4.949963817648086	1.0002187355056198	166.10602210285256	0.9998252697042785
99	50.25125628140703	4.949963817648086	1.0002187355056198	167.2114684977325	0.9998225804850851
100	50.74874371859296	4.949963817648086	1.0002187355056198	168.3096180336061	0.9998199196294223
101	51.246231155778894	4.949963817648086	1.0002187355056198	169.40054677507058	0.9998172175571602
102	51.743718592964825	4.949963817648086	1.0002187355056198	170.48431953484376	0.9998146137786169
103	52.24120603015075	4.949963817648086	1.0002187355056198	171.5610132898553	0.9998119241304391
104	52.73869346733668	4.949963817648086	1.0002187355056198	172.63068910132935	0.9998093711946626
105	53.23618090452261	4.949963817648086	1.0002187355056198	173.6934240808524	0.9998067496804098
106	53.733668341708544	4.949963817648086	1.0002187355056198	174.7492787690465	0.9998041704144089
107	54.23115577889447	4.949963817648086	1.0002187355056198	175.7983230660166	0.9998016291532952
108	54.7286432160804	4.949963817648086	1.0002187355056198	176.84062294152253	0.9997990526068644
109	55.22613065326633	4.949963817648086	1.0002187355056198	177.87624243357948	0.9997965142902691
110	55.72361809045226	4.949963817648086	1.0002187355056198	178.9052441059127	0.99979401459348
111	56.22110552763819	4.949963817648086	1.0002187355056198	179.9276915839285	0.9997915429594184
112	56.71859296482412	4.949963817648086	1.0002187355056198	180.94364982136506	0.9997890510930478
113	57.21608040201005	4.949963817648086	1.0002187355056198	181.9531782825469	0.9997865987324616
114	57.71356783919598	4.949963817648086	1.0002187355056198	182.95634057829074	0.9997841114742817
115	58.211055276381906	4.949963817648086	1.0002187355056198	183.95318926860267	0.9997817404208472
116	58.70854271356784	4.949963817648086	1.0002187355056198	184.94379104869103	0.9997793245854565
117	59.20603015075377	4.949963817648086	1.0002187355056198	185.9282043372469	0.9997769098803966
118	59.7035175879397	4.949963817648086	1.0002187355056198	186.90648406501393	0.9997745030814545
119	60.201005025125625	4.949963817648086	1.0002187355056198	187.87868730761966	0.9997721789320075
120	60.698492462311556	4.949963817648086	1.0002187355056198	188.84487344948298	0.9997697642784114
121	61.19597989949749	4.949963817648086	1.0002187355056198	189.80509467314397	0.9997674366882547
