	R	rate1	rate2	rate2/rate1
0	1.0	0.4994464631215246	45.450029475038455	91.00080355155028
1	1.059560179277616	0.5291620999579026	47.89771938720151	90.51615637441155
2	1.1226677735108137	0.5606437534200007	50.46259445313933	90.0083058899896
3	1.1895340673703196	0.5939961242707069	53.14866884088945	89.4764572852121
4	1.2603829296797275	0.6293301066914925	55.95992235938795	88.91982405478717
5	1.3354515629298989	0.6667631281586393	58.90027430570792	88.33762968922616
6	1.414991297434576	0.7064195592205079	61.97356047437328	87.72911177991367
7	1.4992684327860457	0.7484310515568604	65.18350738569754	87.0935368730427
8	1.5885651294280527	0.7929370472180987	68.53370068668976	86.43019130854086
9	1.6831803533309568	0.8400851711155007	72.02755843861542	85.73840000410216
10	1.7834308769319096	0.8900317237122587	75.66829683844604	85.0175278279284
11	1.88965233969121	0.942942202396139	79.45889356057907	84.26698196205841
12	2.0022003718155847	0.9989917973692846	83.40205609743356	83.4862271312558
13	2.1214517849106302	1.0583659735801774	87.5001851786697	82.67479053836102
14	2.2478058335487257	1.1212610907961593	91.75533190022212	81.83226248854368
15	2.3816855519761586	1.1878849282841444	96.16916225725068	80.95831504164587
16	2.5235391704347663	1.2584575097052706	100.74292140868646	80.05269993762471
17	2.673841615839947	1.3332116066346116	105.47739141901384	79.1152663944079
18	2.8330961018393244	1.4123936056338646	110.37284927062322	78.14595650274788
19	3.0018358135755894	1.4962642682309204	115.4290394792361	77.1448212258062
20	3.18062569279412	1.585099525158927	120.64513399643644	76.11202456472894
21	3.370064329271929	1.6791912742164403	126.0196962289804	75.04785081007812
22	3.5707859649004634	1.7788483973796123	131.55065791897226	73.95270901823733
23	3.78346261713193	1.8843976364394983	137.23528996527148	72.82713972438037
24	4.008806328898466	1.99618458799595	143.07018156534494	71.67181954299068
25	4.2475715525368996	2.114574891978921	149.05122642730126	70.48756087698173
26	4.500557675700499	2.239955100722611	155.17360473473562	69.27531926183543
27	4.768611697714471	2.3727341316460087	161.43178246746123	68.03618674102061
28	5.052631065335681	2.5133442122774072	167.81952007688864	66.771403318777
29	5.353566677410726	2.662242393958086	174.3298641299253	65.4823409489549
30	5.672426068491979	2.819911741169866	180.955186750316	64.17051431377249
31	6.010276782070384	2.986862860238789	187.68718853197547	62.83756480100681
32	6.368249944718588	3.1636353494709626	194.51694291385658	61.48526028651962
33	6.747544053110695	3.3507992688803188	201.43492292731537	60.115484922684
34	7.149428986597579	3.5489568894464165	208.43107135660895	58.73023478431744
35	7.575250258771915	3.7587443741922737	215.49482006736505	57.33159763323179
36	8.026433522257175	3.9808334557668705	222.61518171455162	55.9217521125025
37	8.50448934180268	4.215933384944794	229.78079324069742	54.502946858992246
38	9.011018251665021	4.4647929063813345	236.97999946773797	53.077489692530364
39	9.54771611420806	4.728202051604202	244.20092015487305	51.64773363947499
40	10.116379797662075	5.0069945562150755	251.4315318416402	50.21605855942935
41	10.71891319205128	5.302049610607534	258.6597386924219	48.784858250842255
42	11.357333583431057	5.614294730822958	265.873480045529	47.35652344467434
43	12.033778407775898	5.944707440824929	273.06077365490984	45.93342504623205
44	12.750512407130135	6.294317963768875	280.20982175711055	44.51790064786116
45	13.509935211980272	6.6642119245370255	287.309071902163	43.1122351983311
46	14.314589375234792	7.05553252869034	294.3473020595934	41.71865140762531
47	15.167168884709232	7.469483454438376	301.31368635497154	40.33929363293932
48	16.070528182616393	7.907331486745509	308.1978514373427	38.97621491573391
49	17.027691722259004	8.370409229619776	314.98994202689823	37.63136704383169
50	18.041864093920726	8.86011797171497	321.6806700069556	36.30658993863158
51	19.116440753857027	9.377930339349042	328.2613501640135	35.0036029577502
52	20.255019392306675	9.925393802841235	334.72394186814654	33.72399609699403
53	21.461411978584046	10.504132608201898	341.06108795980856	32.4692290816568
54	22.739657523579286	11.115851762900698	347.26611369357164	31.240621150830464
55	24.094035602395255	11.762338962116873	353.3330616614329	30.039353805345822
56	25.52908068239518	12.445467955762387	359.256677779842	28.86646601452236
57	27.049597304631355	13.167201637344846	365.0324275632834	27.72285544165874
58	28.660676169482517	13.929594009307674	370.6564872029566	26.60928143026179
59	30.36771118035459	14.73479353594078	376.12570684028407	25.526364242759605
60	32.17641750250737	15.585045012103073	381.43763321967157	24.474592978297707
61	34.09285069746813	16.482692799673504	386.59044985408667	23.454325974075328
62	36.12342699709432	17.43018167374058	391.582956842006	22.46579893266086
63	38.27494478516313	18.430059869309016	396.4145666792181	21.509130707673638
64	40.5546073584083	19.484980040597527	401.08523608976174	20.584328813993594
65	42.97004704320842	20.597700050422024	405.5954499866469	19.69129800869863
66	45.5293507486695	21.771084462576443	409.94616939484905	18.829846078615372
67	48.241087041653714	23.008104760135822	414.13882281831224	17.99969302712213
68	51.11433483440168	24.311838658460026	418.1752246394511	17.200477122035135
69	54.158713780794734	25.685469349823485	422.05757791536655	16.431764285368878
70	57.384416483023955	27.132284217415933	425.7883983667331	15.693053889411342
71	60.80224261649424	28.65567154289146	429.5602464862143	14.990409345083878
72	64.42363508721374	30.25911845805532	432.8069944613531	14.303357682455385
73	68.26071834272389	31.946206845818086	436.2938565957471	13.657141165504601
74	72.32633896483537	33.72060526703395	439.5151378172135	13.034022798128529
75	76.63410868007459	35.58606681088193	442.58889330361865	12.437139952996395
76	81.19844993184013	37.546417253854656	445.4527596570789	11.864055008107252
77	86.03464416684504	39.60554967523878	448.2708173841649	11.318383940128015
78	91.15888299750823	41.76740975667823	451.4226403932519	10.808011390293926
79	96.58832241158703	44.03598756636265	453.2634154933086	10.293022605891066
